Date,Open,High,Low,Close,Volume
2020-01-02,295.67269108630387,296.9064177570936,294.74967601076855,296.88812255859375,59151200
2020-01-03,293.49777150755784,295.7641735797391,293.44294167338677,294.6401062011719,77709700
2020-01-06,292.88539410667613,295.84634385164514,292.7665868662051,295.76409912109375,55653900
2020-01-07,295.19752718117184,295.67275622250656,294.4847115081981,294.9325256347656,40496400
2020-01-08,295.12435421537083,297.71973440629677,294.8776200458571,296.5043029785156,68296000
2020-01-09,298.0670758368869,298.5879870903448,297.48218715461246,298.5148620605469,48473300
2020-01-10,299.09974925042434,299.2550911321721,297.1897692196359,297.65582275390625,53029300
2020-01-13,298.2772800531271,299.7120310890485,297.8477611357546,299.7029113769531,47086800
2020-01-14,299.264269511989,300.31521183370324,298.68852837435486,299.2460021972656,62832800
2020-01-15,299.1545348144793,300.6806779375008,299.0722900853066,299.92218017578125,72056600
2020-01-16,301.3022249433567,302.4171447753906,301.0737579932598,302.4171447753906,54050300
2020-01-17,303.1299315092865,303.56857016247767,302.3531383755547,303.3583984375,95846000
2020-01-21,302.398801777143,303.56855126120206,302.3257046358388,302.76434326171875,77742400
2020-01-22,303.6233480257216,304.2722140708887,302.64553093599403,302.8008728027344,48914900
2020-01-23,302.1520504997015,303.55941441938006,301.0371309067921,303.1481628417969,51963000
2020-01-24,303.80617720247466,303.8884219479204,299.16371371777205,300.4522705078125,87578400
2020-01-27,295.2065895983411,297.11656914672125,294.86846311743926,295.6361083984375,84062500
2020-01-28,297.0617985757093,299.61149697791484,295.72755969424713,298.73419189453125,63834000
2020-01-29,300.0958733171972,300.3243402372707,298.28640527016483,298.4874572753906,53888900
2020-01-30,296.42206872649126,299.6663153017545,295.67271852206113,299.45611572265625,75491800
2020-01-31,298.83471866925794,298.99008843943227,293.104778599044,294.0186462402344,113845600
2020-02-03,295.49906033977834,298.0670257718115,295.38025310308274,296.2027282714844,69083000
2020-02-04,299.8125346860519,301.5854399692841,299.492675464825,300.7172546386719,62573200
2020-02-05,303.65082382168174,304.4002020615823,302.1886577494263,304.19000244140625,65951100
2020-02-06,305.1495235533158,305.4054053572776,304.1351160486289,305.2135009765625,50359700
2020-02-07,304.15344652404104,305.222656086769,303.03852684411055,303.58685302734375,64139400
2020-02-10,302.7004442781708,305.9172489243438,302.6638817568983,305.853271484375,42070000
